region,sensor,coef_a,coef_b,coef_c,coef_d,coef_e
NWA,MODIS,0.37925,-3.28487,-0.7583,1.49122,0.8002
NWA,SeaWiFS,0.51824,-3.68431,-0.97401,0.84875,0.77874
NWA,VIIRS-SNPP,0.44786,-3.11091,-0.77987,1.425,0.90445
NEP,MODIS,0.26575,-2.84142,-0.57938,0.74974,0.47743
NEP,SeaWiFS,0.42516,-3.14271,-0.70269,1.21802,1.59686
NEP,VIIRS-SNPP,0.33055,-2.76455,-0.39595,1.52198,0.46509
