region,sensor,gtype,chl,adg,bbp
NWA,MODIS,gc,0.5,0.038,0.8
NWA,MODIS,gs,0.5,0.036,0.75
NWA,SeaWiFS,gc,0.5,0.035,0.6
NWA,SeaWiFS,gs,0.5,0.034,0.525
NWA,VIIRS-SNPP,gc,0.6,0.026,1.4
NWA,VIIRS-SNPP,gs,0.5,0.026,1.75
NEP,MODIS,gc,0.6,0.038,0.9
NEP,MODIS,gs,0.6,0.036,0.75
NEP,SeaWiFS,gc,0.7,0.028,0.75
NEP,SeaWiFS,gs,0.65,0.026,0.65
NEP,VIIRS-SNPP,gc,0.6,0.034,0.8
NEP,VIIRS-SNPP,gs,0.6,0.03,0.75
